"County Name","State","County Gov Total Debt","County Gov Debt per Capita "
"Los Angeles County","California","$62.4B","$ 6,228"
"City And County Of San Francisco","California","$37.5B","$42,866"
"Miami-Dade County","Florida","$30.2B","$11,190"
"Cook County","Illinois","$21.1B","$ 3,999"
"Philadelphia","Pennsylvania","$20.1B","$12,517"
"Washington","District of Columbia","$19.8B","$28,761"
"Denver County","Colorado","$14.3B","$19,944"
"Nassau County","New York","$14.2B","$10,175"
"Santa Clara County","California","$13.3B","$ 6,894"
"City And County Of Honolulu","Hawaii","$12.0B","$11,816"
"Harris County","Texas","$11.1B","$ 2,344"
"Clark County","Nevada","$11.1B","$ 4,887"
"Suffolk County","New York","$10.3B","$ 6,754"
"Baltimore","Maryland","$ 9.7B","$16,558"
"Riverside County","California","$ 9.4B","$ 3,888"
"Baltimore County","Maryland","$ 8.9B","$10,448"
"Nashville-Davidson County","Tennessee","$ 8.8B","$12,284"
"San Diego County","California","$ 8.6B","$ 2,621"
"Fairfax County","Virginia","$ 8.2B","$ 7,137"
"Broward County","Florida","$ 8.1B","$ 4,183"
"Prince Georges County","Maryland","$ 8.0B","$ 8,258"
"Jacksonville","Florida","$ 7.8B","$ 7,797"
"King County","Washington","$ 7.5B","$ 3,293"
"Orange County","California","$ 7.2B","$ 2,269"
"Montgomery County","Maryland","$ 6.3B","$ 5,976"
"Westchester County","New York","$ 6.0B","$ 6,016"
"Sacramento County","California","$ 5.7B","$ 3,609"
"Alameda County","California","$ 5.1B","$ 3,037"
"Anne Arundel County","Maryland","$ 4.9B","$ 8,257"
"San Bernardino County","California","$ 4.4B","$ 2,006"
"Wake County","North Carolina","$ 4.1B","$ 3,593"
"Palm Beach County","Florida","$ 4.0B","$ 2,663"
"Baton Rouge","Louisiana","$ 4.0B","$ 8,660"
"Contra Costa County","California","$ 3.9B","$ 3,352"
"St Louis","Missouri","$ 3.7B","$12,254"
"Allegheny County","Pennsylvania","$ 3.7B","$ 2,952"
"Orange County","Florida","$ 3.5B","$ 2,452"
"Bexar County","Texas","$ 3.5B","$ 1,722"
"Hennepin County","Minnesota","$ 3.4B","$ 2,657"
"Hillsborough County","Florida","$ 3.4B","$ 2,320"
"Maricopa County","Arizona","$ 3.4B","$   763"
"Jefferson County","Alabama","$ 3.2B","$ 4,785"
"Loudoun County","Virginia","$ 3.2B","$ 7,600"
"Bergen County","New Jersey","$ 3.2B","$ 3,336"
"Mecklenburg County","North Carolina","$ 3.2B","$ 2,839"
"Fulton County","Georgia","$ 3.1B","$ 2,952"
"Dekalb County","Georgia","$ 3.1B","$ 4,104"
"Kern County","California","$ 2.9B","$ 3,170"
"Passaic County","New Jersey","$ 2.8B","$ 5,395"
"Howard County","Maryland","$ 2.8B","$ 8,468"
