"Rank","State","Aggregate OPEB per Capita","Aggregate Total OPEB"
1,"New York","$15,023","$303.49B"
2,"New Jersey","$10,599","$ 98.45B"
3,"Delaware","$ 8,448","$  8.36B"
4,"Connecticut","$ 6,657","$ 24.00B"
5,"Massachusetts","$ 6,338","$ 44.55B"
6,"Maryland","$ 4,668","$ 28.83B"
7,"Louisiana","$ 3,631","$ 16.91B"
8,"California","$ 3,622","$143.22B"
9,"Hawaii","$ 3,607","$  5.25B"
10,"Texas","$ 2,649","$ 77.21B"
11,"Illinois","$ 2,547","$ 32.64B"
12,"Vermont","$ 2,443","$  1.57B"
13,"South Carolina","$ 2,344","$ 12.00B"
14,"Maine","$ 2,168","$  2.95B"
15,"North Carolina","$ 2,159","$ 22.54B"
16,"Rhode Island","$ 2,142","$  2.35B"
17,"Pennsylvania","$ 1,885","$ 24.51B"
18,"New Hampshire","$ 1,679","$  2.31B"
19,"Georgia","$ 1,668","$ 17.87B"
20,"Kentucky","$ 1,186","$  5.35B"
21,"New Mexico","$ 1,156","$  2.45B"
22,"Wyoming","$ 1,128","$  0.65B"
23,"Wisconsin","$ 1,026","$  6.04B"
24,"Michigan","$ 1,016","$ 10.24B"
25,"Nevada","$   940","$  2.92B"
26,"Washington","$   845","$  6.51B"
27,"Alabama","$   762","$  3.83B"
28,"Florida","$   674","$ 14.51B"
29,"Tennessee","$   655","$  4.53B"
30,"Missouri","$   619","$  3.81B"
31,"Virginia","$   544","$  4.70B"
32,"Arkansas","$   535","$  1.61B"
33,"Minnesota","$   502","$  2.86B"
34,"Colorado","$   371","$  2.14B"
35,"Iowa","$   358","$  1.14B"
36,"Nebraska","$   347","$  0.68B"
37,"Arizona","$   296","$  2.11B"
38,"Indiana","$   237","$  1.61B"
39,"West Virginia","$   224","$  0.40B"
40,"Oregon","$   212","$  0.90B"
41,"Oklahoma","$   196","$  0.78B"
42,"Montana","$   194","$  0.21B"
43,"Kansas","$   125","$  0.37B"
44,"North Dakota","$   119","$  0.09B"
45,"Mississippi","$   113","$  0.33B"
46,"South Dakota","$   101","$  0.09B"
47,"Idaho","$    74","$  0.14B"
48,"Utah","$    73","$  0.24B"
49,"Ohio","$    21","$  0.25B"
50,"Alaska","$-3,500","$ -2.57B"
